nb_projet_siret,annee_creation,kw_renovation,kw_energetique,kw_batiment,kw_ecole,kw_eclairage,kw_incendie,kw_mobilite,kw_isolation,kw_chauffage,kw_photovolta,kw_recyclage,kw_benef_commune,kw_benef_ville,kw_benef_departement,kw_benef_region,kw_benef_metropole,kw_benef_communaute,kw_benef_syndicat,kw_benef_association,kw_benef_territoires,kw_benef_public,categorie_entreprise_ETI,categorie_entreprise_GE,categorie_entreprise_PME,economie_sociale_solidaire_unite_legale_N,economie_sociale_solidaire_unite_legale_Non_renseigne,economie_sociale_solidaire_unite_legale_O,demarche,nom_region,nom_departement,code_departement,forme_juridique_beneficiaire,code_commune,nom_commune,siret,activite_principale,code_postal,tranche_effectifs_unite_legale,annee_creation_bin,montant_engage_log
1,1983,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.556163434330063,10.469612630640494,10.572983036827797,10.572983036827797,10.867898869298177,11.218316422476347,11.218316422476347,11.27992682598949,10.894518710219307,10.93964100216823,11.041263967128458,10.898415635135263,13.579949236796475
1,1983,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,11.556163434330063,10.469612630640494,10.598520467605981,10.598520467605981,10.867898869298177,11.007333316844724,11.007333316844724,11.007333316844724,10.894518710219307,11.007333316844724,10.070993727253382,10.898415635135263,11.48482429985932
1,1983,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.556163434330063,11.04404863079418,11.081903968983852,11.081903968983852,10.867898869298177,11.06806308668948,11.06806308668948,11.235610134873344,10.894518710219307,11.06806308668948,11.041263967128458,10.898415635135263,13.239335826846677
1,1983,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,9.69812101696013,11.069002998076362,10.742554565534922,10.742554565534922,10.867898869298177,10.741885664983213,10.741885664983213,10.741885664983213,10.894518710219307,10.728636450988883,10.070993727253382,10.898415635135263,9.444621667700849
4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,10.01358307059093,10.51254121932266,10.231840267430035,10.231840267430035,10.236398269268328,10.706916198988518,10.706916198988518,10.914339837109914,11.488218040967483,10.636751755017526,10.752045520711334,10.846105734621867,9.77571099759397
5,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,10.475322431255302,10.51254121932266,11.545077626035809,11.545077626035809,11.275106400876476,10.909053194789047,10.909053194789047,10.909053194789047,10.894518710219307,10.82680330150622,11.655759499038734,10.846105734621867,11.51293546492023
4,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,11.941259552842595,11.069002998076362,10.940149540994259,10.940149540994259,11.809774385623076,10.892033699248762,10.892033699248762,11.085669916388603,10.894518710219307,10.892033699248762,11.905517505015311,11.208873210857517,10.431583187467073
1,1983,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.556163434330063,12.203846975112604,11.84719300849457,11.84719300849457,10.867898869298177,11.01282919360726,11.01282919360726,11.01282919360726,10.894518710219307,11.01282919360726,11.041263967128458,10.898415635135263,11.527065028523948
2,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,12.503609973389988,10.469612630640494,11.265728504129706,11.265728504129706,12.360754453706615,11.615061859260058,11.615061859260058,11.206234049872998,12.604124040527205,11.25554648475863,11.273248658116424,11.462832162125798,13.222411406762276
1,1983,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,11.556163434330063,11.069002998076362,10.905058983328656,10.905058983328656,10.867898869298177,10.959853272585178,10.959853272585178,10.959853272585178,10.894518710219307,10.853650931794949,10.332078087480614,10.898415635135263,11.119897691565697
1,1983,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.556163434330063,10.469612630640494,11.078208195399672,11.078208195399672,10.867898869298177,10.621945677025002,10.621945677025002,10.621945677025002,10.894518710219307,10.774569171109531,10.410010136077346,10.898415635135263,8.52277558084579
1,1992,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,11.556163434330063,11.42887912134395,11.38182675633953,11.38182675633953,10.867898869298177,11.242695627851774,11.242695627851774,11.242695627851774,10.894518710219307,11.242695627851774,11.655759499038734,11.462832162125798,13.293794177950407
1,1983,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,11.556163434330063,11.069002998076362,11.39493164550483,11.39493164550483,10.867898869298177,11.03470133766155,11.03470133766155,11.03470133766155,10.894518710219307,11.043622884975258,10.070993727253382,10.898415635135263,11.695172018951542
1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,10.01358307059093,10.975968081027128,10.767890771987933,10.767890771987933,11.275106400876476,10.851895225784006,10.851895225784006,10.851895225784006,10.894518710219307,10.707281335690338,11.499769794966772,10.846105734621867,10.290143539657238
9,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,10.475322431255302,11.069002998076362,11.306529943680195,11.306529943680195,10.612492372366853,11.432696842352529,11.432696842352529,11.014673099803414,10.57819558377291,11.454543359743012,10.752045520711334,11.208873210857517,10.571342565808699
1,1983,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,10.604141597915584,11.110708772783159,10.529336661946624,10.529336661946624,10.867898869298177,10.694074718225085,10.694074718225085,10.694074718225085,10.894518710219307,10.694074718225085,10.410010136077346,10.898415635135263,9.077151777732437
1,1983,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.556163434330063,10.975968081027128,11.132604803162815,11.132604803162815,10.867898869298177,11.254368068982034,11.254368068982034,11.254368068982034,10.894518710219307,11.254368068982034,11.499769794966772,10.898415635135263,13.3835073283613
2,1983,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,9.69812101696013,10.620143400852314,10.642421107040914,10.642421107040914,10.867898869298177,10.589746173860446,10.589746173860446,10.589746173860446,10.894518710219307,10.771103444487634,10.752045520711334,10.898415635135263,9.128577018173093
8,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,11.941259552842595,10.620143400852314,11.367276355560078,11.367276355560078,11.809774385623076,11.107819439571028,11.107819439571028,11.197763394480239,10.894518710219307,11.197763394480239,12.182803577485947,10.846105734621867,11.518489954442641
1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,11.286866842098139,11.069002998076362,10.683595028576557,10.683595028576557,10.236398269268328,10.58960913954155,10.58960913954155,10.740269904527038,10.894518710219307,10.58960913954155,10.295698749064284,10.846105734621867,9.43220310339067
